origin,arrivalActual,flight,arrivalScheduled,equipment,status,airline,gate
,,,,,,,
,,,,,,,
"
,OTP, Bucharest",12:07 AM,"
,RO 398",12:20 AM,73W,Landed,TAROM,T-1
"
,AMS, Amsterdam",6:11 AM,"
,EI 602",6:00 AM,320,Landed,Aer Lingus,T-2
"
,AMS, Amsterdam",6:11 AM,"
,KL 3152",6:00 AM,320,Landed,KLM,T-2
"
,FRA, Frankfurt",6:05 AM,"
,LH 983",6:00 AM,32A,Landed,Lufthansa,T-1
"
,FRA, Frankfurt",6:05 AM,"
,LO 4750",6:00 AM,32A,Landed,LOT - Polish Airlines,T-1
,,,,,,,
,,,,,,,
"
,CDG, Paris",7:05 AM,"
,EI 520",7:00 AM,320,Landed,Aer Lingus,T-2
"
,DUS, Dusseldorf",6:58 AM,"
,EI 692",7:00 AM,320,Landed,Aer Lingus,T-2
"
,FRA, Frankfurt",6:54 AM,"
,EI 650",7:00 AM,320,Landed,Aer Lingus,T-2
"
,FCO, Rome",6:56 AM,"
,EI 402",7:00 AM,320,Landed,Aer Lingus,T-2
,,,,,,,
,,,,,,,
"
,AMS, Amsterdam",6:11 AM,"
,EI 602",6:00 AM,320,Landed,Aer Lingus,T-2
"
,AMS, Amsterdam",6:11 AM,"
,KL 3152",6:00 AM,320,Landed,KLM,T-2
"
,FRA, Frankfurt",6:05 AM,"
,LH 983",6:00 AM,32A,Landed,Lufthansa,T-1
"
,FUE, Puerto del Rosario",7:04 AM,"
,FR 7128",7:00 AM,,Landed,Ryanair,
"
,LHR, London",7:09 AM,"
,BA 831",7:10 AM,319,Landed,British Airways,T-1
"
,LHR, London",7:09 AM,"
,AA 6765",7:10 AM,319,Landed,American Airlines,T-1
"
,LGW, London",7:15 AM,"
,EI 230",7:10 AM,320,Landed,Aer Lingus,T-2
"
,LGW, London",7:15 AM,"
,BA 5900",7:10 AM,320,Landed,British Airways,T-2
"
,FRA, Frankfurt",6:05 AM,"
,LO 4750",6:00 AM,32A,Landed,LOT - Polish Airlines,T-1
"
,CDG, Paris",6:31 AM,"
,WX 1579",6:25 AM,AR8,En Route,Cityjet,T-1
"
,CDG, Paris",6:31 AM,"
,AF 1579",6:25 AM,AR8,En Route,Air France,T-1
"
,CDG, Paris",6:31 AM,"
,AZ 3575",6:25 AM,AR8,En Route,Alitalia,T-1
"
,CDG, Paris",6:31 AM,"
,SV 6094",6:25 AM,AR8,En Route,Saudia,T-1
"
,MUC, Munich",7:10 AM,"
,EI 352",7:10 AM,320,En Route,Aer Lingus,T-2
